Epoch,Train Loss,Val Loss,Val IoU,Best Threshold,Learning Rate,Checkpoint Saved
1,1.273232,1.212251,0.057872,0.55,1.00e-05,Yes
2,1.075817,1.047441,0.134533,0.55,1.08e-04,Yes
3,1.038975,1.031767,0.157854,0.55,2.06e-04,Yes
4,1.019573,1.033257,0.169572,0.55,3.04e-04,Yes
5,0.991329,1.025161,0.156467,0.55,4.02e-04,No
6,0.961055,0.956380,0.190413,0.55,5.00e-04,Yes
7,0.927297,1.075232,0.209632,0.55,5.00e-04,Yes
8,0.910076,1.299197,0.131732,0.55,5.00e-04,No
9,0.894505,1.125716,0.233407,0.35,5.00e-04,Yes
10,0.876109,1.134366,0.234175,0.35,5.00e-04,Yes
11,0.863888,0.974210,0.259932,0.55,5.00e-04,Yes
12,0.843825,0.863433,0.249565,0.55,5.00e-04,No
13,0.838575,0.911338,0.266782,0.55,5.00e-04,Yes
14,0.826976,1.021561,0.236940,0.55,5.00e-04,No
15,0.816226,0.865421,0.273339,0.55,5.00e-04,Yes
16,0.804438,0.857113,0.275839,0.55,5.00e-04,Yes
17,0.794398,0.857987,0.264940,0.55,5.00e-04,No
18,0.791184,0.899204,0.263474,0.55,5.00e-04,No
19,0.777790,0.893328,0.284174,0.55,5.00e-04,Yes
20,0.771286,0.922764,0.283934,0.55,5.00e-04,No
21,0.765075,0.986690,0.272058,0.55,5.00e-04,No
22,0.755071,0.897612,0.286630,0.55,5.00e-04,Yes
23,0.750269,0.902531,0.297601,0.55,5.00e-04,Yes
24,0.743773,0.893579,0.276869,0.55,5.00e-04,No
25,0.742751,0.884432,0.259642,0.55,5.00e-04,No
26,0.736186,0.854167,0.294930,0.55,5.00e-04,No
27,0.728157,1.013941,0.266502,0.55,5.00e-04,No
28,0.710396,0.859587,0.283485,0.55,2.50e-04,No
29,0.699299,0.834383,0.295362,0.55,2.50e-04,No
30,0.691991,0.902151,0.302503,0.55,2.50e-04,Yes
31,0.687586,0.861555,0.299720,0.55,2.50e-04,No
32,0.682696,0.835991,0.291498,0.55,2.50e-04,No
33,0.677569,0.881177,0.297456,0.55,2.50e-04,No
34,0.676122,0.876016,0.303353,0.55,2.50e-04,Yes
35,0.672401,0.833900,0.311801,0.55,2.50e-04,Yes
36,0.668231,0.823239,0.307836,0.55,2.50e-04,No
37,0.664658,0.882605,0.300973,0.55,2.50e-04,No
38,0.659633,0.858226,0.298866,0.55,2.50e-04,No
39,0.657595,0.872826,0.304021,0.55,2.50e-04,No
40,0.646405,0.875780,0.306667,0.55,1.25e-04,No
41,0.640214,0.890264,0.314297,0.55,1.25e-04,Yes
42,0.637585,0.882949,0.317279,0.55,1.25e-04,Yes
43,0.633193,0.891912,0.306645,0.55,1.25e-04,No
44,0.633406,0.868962,0.315516,0.55,1.25e-04,No
45,0.629990,0.888472,0.313693,0.55,1.25e-04,No
46,0.625876,0.881732,0.318070,0.55,1.25e-04,Yes
47,0.625237,0.857489,0.314858,0.55,1.25e-04,No
48,0.624177,0.948887,0.310085,0.55,1.25e-04,No
49,0.623523,0.852276,0.313918,0.55,1.25e-04,No
50,0.620431,0.887275,0.314851,0.55,1.25e-04,No
51,0.616455,0.883638,0.319329,0.55,6.25e-05,Yes
52,0.612962,0.881115,0.317413,0.55,6.25e-05,No
53,0.612105,0.890266,0.317586,0.55,6.25e-05,No
54,0.611308,0.898571,0.314272,0.55,6.25e-05,No
55,0.610106,0.896428,0.317755,0.55,6.25e-05,No
56,0.606860,0.891748,0.318855,0.55,3.13e-05,No
57,0.606497,0.884652,0.321023,0.55,3.13e-05,Yes
58,0.606038,0.894693,0.317785,0.55,3.13e-05,No
59,0.603864,0.898304,0.319931,0.55,3.13e-05,No
60,0.603906,0.907299,0.320073,0.55,3.13e-05,No
61,0.603167,0.899658,0.318345,0.55,3.13e-05,No
62,0.601479,0.897801,0.319183,0.55,1.56e-05,No
63,0.602364,0.895039,0.317260,0.55,1.56e-05,No
64,0.600759,0.880243,0.317232,0.55,1.56e-05,No
