Threshold,Precision,Recall,F1,IoU,Accuracy,TP,FP,FN,TN
0.10,0.10501143598793876,0.6269795540957362,0.1798929883088985,0.09883648991701645,0.9244598606143676,363445,3097559,216231,40190701
0.15,0.10944869210357067,0.5850906368385098,0.1844025307006348,0.10156575662764902,0.9316087950889689,339163,2759668,240513,40528592
0.20,0.11323553000198812,0.5492447505158053,0.18776112211779714,0.10360726966481168,0.9372068701841819,318384,2493313,261292,40794947
0.25,0.11642591606235314,0.5150946390742415,0.1899237157848471,0.1049258075149014,0.9419366801301069,298588,2266030,281088,41022230
0.30,0.11940555481977383,0.48214692345379145,0.19140814136407125,0.10583268991846208,0.9461709800980835,279489,2061181,300187,41227079
0.35,0.12246691075579282,0.45036710162228555,0.19256910885144304,0.10654299967678008,0.9500939136958712,261067,1870668,318609,41417592
0.40,0.12542302663093435,0.41781098406696154,0.19293018165046336,0.10676409936760141,0.9538088365953666,242195,1688830,337481,41599430
0.45,0.1285874986025165,0.3849270972060254,0.19277665319762344,0.1066700767997017,0.9574023268384453,223133,1512129,356543,41776131
0.50,0.13175927343893976,0.3502818816028264,0.1914894018325644,0.10588237748045308,0.9609135018342326,203050,1338018,376626,41950242
0.55,0.13499028053948017,0.3137476797383366,0.1887644507733113,0.10421860969651613,0.9643651116843063,181872,1165425,397804,42122835
0.60,0.1383635668612733,0.27474313237049663,0.1840417491951308,0.10134690547734773,0.9678081047624397,159262,991778,420414,42296482
0.65,0.14115324616507174,0.23226940566799384,0.1755950284961592,0.09624783490444985,0.9711803628053073,134641,819223,445035,42469037
0.70,0.143685825214655,0.18865711190389114,0.1631288032870394,0.08880797062905375,0.974421841957643,109360,651745,470316,42636515
0.75,0.14621381761406824,0.14733575307585617,0.14677264134731052,0.07919839984124526,0.9773641960269113,85407,498717,494269,42789543
0.80,0.1486483658306882,0.1102753952207785,0.1266184086337576,0.06758815674142275,0.9798973218160982,63924,366111,515752,42922149
0.85,0.15236211232187763,0.07839206729276355,0.10352125349972549,0.05458603408594039,0.9820588322185936,45442,252808,534234,43035452
0.90,0.1585559404188695,0.05101297966450224,0.0771909399643425,0.040144880512946526,0.9838826244298341,29571,156931,550105,43131329
